"LOCATION","Country","IND","Variable","SEC","ISIC4","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,13.3,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,10.4,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,11.3,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,10.9,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,11.5,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,10.5,"B","Break"
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,11.6,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,10.4,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,12,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,12.2,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,11.7,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,11,,
"EST","Estonia","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,10.9,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,8,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,8.6,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,8.6,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,9.1,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,8.2,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,8.2,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,8.3,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,8.4,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,7.8,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,7.6,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,7.2,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,7.3,,
"SWE","Sweden","B_R","Birth rate of all enterprises","55_56","Accommodation and food service activities","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,6.8,,
"CHE","Switzerland","B_R","Birth rate of all enterprises","05_39","Industry (except construction)","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,3.9,,
"CHE","Switzerland","B_R","Birth rate of all enterprises","05_39","Industry (except construction)","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,4.5,,
"CHE","Switzerland","B_R","Birth rate of all enterprises","05_39","Industry (except construction)","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,4.5,,
