"LOCATION","Country","VAR","Variable","ISIC4","ISIC4","SRC","Source","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","EUR","Euro","6","Millions",,,0.154,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","EUR","Euro","6","Millions",,,0.155,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","EUR","Euro","6","Millions",,,0.141,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","EUR","Euro","6","Millions",,,0.181,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2009","2009","EUR","Euro","6","Millions",,,0.152,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","EUR","Euro","6","Millions",,,0.168,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","EUR","Euro","6","Millions",,,0.216,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","EUR","Euro","6","Millions",,,0.213,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","EUR","Euro","6","Millions",,,0.203,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","EUR","Euro","6","Millions",,,0.186,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","EUR","Euro","6","Millions",,,0.159,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","EUR","Euro","6","Millions",,,0.135,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","EUR","Euro","6","Millions",,,0.151,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","EUR","Euro","6","Millions",,,0.15,"B","Break"
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","EUR","Euro","6","Millions",,,0.131,,
"AUT","Austria","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","EUR","Euro","6","Millions",,,0.113,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","EUR","Euro","6","Millions",,,0.087,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","EUR","Euro","6","Millions",,,0.103,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","EUR","Euro","6","Millions",,,0.099,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","EUR","Euro","6","Millions",,,0.097,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","EUR","Euro","6","Millions",,,0.1,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","EUR","Euro","6","Millions",,,0.099,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","EUR","Euro","6","Millions",,,0.096,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","EUR","Euro","6","Millions",,,0.1,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","EUR","Euro","6","Millions",,,0.087,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","EUR","Euro","6","Millions",,,0.097,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","EUR","Euro","6","Millions",,,0.103,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","EUR","Euro","6","Millions",,,0.087,"B","Break"
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","EUR","Euro","6","Millions",,,0.106,,
"BEL","Belgium","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","EUR","Euro","6","Millions",,,0.094,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","CZK","Czech Koruna","6","Millions",,,0.872,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","CZK","Czech Koruna","6","Millions",,,0.936,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","CZK","Czech Koruna","6","Millions",,,1.006,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","CZK","Czech Koruna","6","Millions",,,1.285,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2009","2009","CZK","Czech Koruna","6","Millions",,,1.089,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","CZK","Czech Koruna","6","Millions",,,1.206,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","CZK","Czech Koruna","6","Millions",,,1.327,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","CZK","Czech Koruna","6","Millions",,,1.183,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","CZK","Czech Koruna","6","Millions",,,1.019,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","CZK","Czech Koruna","6","Millions",,,1.025,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","CZK","Czech Koruna","6","Millions",,,1.038,,
